"Barangay 775, Manila"
"Barangay 776, Manila"
"Barangay 777, Manila"
"Barangay 778, Manila"
"Barangay 779, Manila"
"Barangay 78, Manila"
"Barangay 780, Manila"
"Barangay 781, Manila"
"Barangay 782, Manila"
"Barangay 783, Manila"
"Barangay 784, Manila"
"Barangay 785, Manila"
"Barangay 786, Manila"
"Barangay 787, Manila"
"Barangay 788, Manila"
"Barangay 789, Manila"
"Barangay 79, Manila"
"Barangay 790, Manila"
"Barangay 791, Manila"
"Barangay 792, Manila"
"Barangay 793, Manila"
"Barangay 794, Manila"
"Barangay 795, Manila"
"Barangay 796, Manila"
"Barangay 797, Manila"
"Barangay 798, Manila"
"Barangay 799, Manila"
"Barangay 8, Manila"
"Barangay 80, Manila"
"Barangay 800, Manila"
"Barangay 801, Manila"
"Barangay 802, Manila"
"Barangay 803, Manila"
"Barangay 804, Manila"
"Barangay 805, Manila"
"Barangay 806, Manila"
"Barangay 807, Manila"
"Barangay 808, Manila"
"Barangay 809, Manila"
"Barangay 81, Manila"
"Barangay 810, Manila"
"Barangay 811, Manila"
"Barangay 812, Manila"
"Barangay 813, Manila"
"Barangay 814, Manila"
"Barangay 815, Manila"
"Barangay 816, Manila"
"Barangay 817, Manila"
"Barangay 818, Manila"
"Barangay 818-A, Manila"
"Barangay 819, Manila"
"Barangay 82, Manila"
"Barangay 820, Manila"
"Barangay 821, Manila"
"Barangay 822, Manila"
"Barangay 823, Manila"
"Barangay 824, Manila"
"Barangay 825, Manila"
"Barangay 826, Manila"
"Barangay 827, Manila"
"Barangay 828, Manila"
"Barangay 829, Manila"
"Barangay 83, Manila"
"Barangay 830, Manila"
"Barangay 831, Manila"
"Barangay 832, Manila"
"Barangay 833, Manila"
"Barangay 834, Manila"
"Barangay 835, Manila"
"Barangay 836, Manila"
"Barangay 837, Manila"
"Barangay 838, Manila"
"Barangay 839, Manila"
"Barangay 84, Manila"
"Barangay 840, Manila"
"Barangay 841, Manila"
"Barangay 842, Manila"
"Barangay 843, Manila"
"Barangay 844, Manila"
"Barangay 845, Manila"
"Barangay 846, Manila"
"Barangay 847, Manila"
"Barangay 848, Manila"
"Barangay 849, Manila"
"Barangay 85, Manila"
"Barangay 850, Manila"
"Barangay 851, Manila"
"Barangay 852, Manila"
"Barangay 853, Manila"
"Barangay 855, Manila"
"Barangay 856, Manila"
"Barangay 857, Manila"
"Barangay 858, Manila"
"Barangay 859, Manila"
"Barangay 86, Manila"
"Barangay 860, Manila"
"Barangay 861, Manila"
"Barangay 862, Manila"
"Barangay 863, Manila"
"Barangay 864, Manila"
"Barangay 865, Manila"
"Barangay 866, Manila"
"Barangay 867, Manila"
"Barangay 868, Manila"
"Barangay 869, Manila"
"Barangay 87, Manila"
"Barangay 870, Manila"
"Barangay 871, Manila"
"Barangay 872, Manila"
"Barangay 873, Manila"
"Barangay 874, Manila"
"Barangay 875, Manila"
"Barangay 876, Manila"
"Barangay 877, Manila"
"Barangay 878, Manila"
"Barangay 879, Manila"
"Barangay 88, Manila"
"Barangay 880, Manila"
"Barangay 881, Manila"
"Barangay 882, Manila"
"Barangay 883, Manila"
"Barangay 884, Manila"
"Barangay 885, Manila"
"Barangay 886, Manila"
"Barangay 887, Manila"
"Barangay 888, Manila"
"Barangay 889, Manila"
"Barangay 89, Manila"
"Barangay 890, Manila"
"Barangay 891, Manila"
"Barangay 892, Manila"
"Barangay 893, Manila"
"Barangay 894, Manila"
"Barangay 895, Manila"
"Barangay 896, Manila"
"Barangay 897, Manila"
"Barangay 898, Manila"
"Barangay 899, Manila"
"Barangay 9, Manila"
"Barangay 90, Manila"
"Barangay 900, Manila"
"Barangay 901, Manila"
"Barangay 902, Manila"
"Barangay 903, Manila"
"Barangay 904, Manila"
"Barangay 905, Manila"
"Barangay 91, Manila"
"Barangay 92, Manila"
"Barangay 93, Manila"
"Barangay 94, Manila"
"Barangay 95, Manila"
"Barangay 96, Manila"
"Barangay 97, Manila"
"Barangay 98, Manila"
"Barangay 99, Manila"
"Barangka, Marikina"
"Calumpang, Marikina"
"Concepcion Dos, Marikina"
"Concepcion Uno, Marikina"
"Fortune, Marikina"
"Industrial Valley, Marikina"
"Jesus de La Peña, Marikina"
"Malanday, Marikina"
"Marikina Heights, Marikina"
"Nangka, Marikina"
"Parang, Marikina"
"San Roque, Marikina"
"Santa Elena, Marikina"
"Santo Niño, Marikina"
"Tañong, Marikina"
"Tumana, Marikina"
"Alabang, Muntinlupa"
"Bayanan, Muntinlupa"
"Buli, Muntinlupa"
"Cupang, Muntinlupa"
"New Alabang Village, Muntinlupa"
"Poblacion, Muntinlupa"
"Putatan, Muntinlupa"
"Sucat, Muntinlupa"
"Tunasan, Muntinlupa"
"Bagumbayan North, Navotas"
"Bagumbayan South, Navotas"
"Bangculasi, Navotas"
"Daanghari, Navotas"
"NBBS Dagat-dagatan, Navotas"
"NBBS Kaunlaran, Navotas"
"NBBS Proper, Navotas"
"Navotas East, Navotas"
"Navotas West, Navotas"
"North Bay Boulevard North, Navotas"
"San Jose, Navotas"
"San Rafael Village, Navotas"
"San Roque, Navotas"
"Sipac-Almacen, Navotas"
"Tangos North, Navotas"
"Tangos South, Navotas"
"Tanza 1, Navotas"
"Tanza 2, Navotas"
"B. F. Homes, Parañaque"
"Baclaran, Parañaque"
"Don Bosco, Parañaque"
"Don Galo, Parañaque"
"La Huerta, Parañaque"
"Marcelo Green Village, Parañaque"
"Merville, Parañaque"
"Moonwalk, Parañaque"
"San Antonio, Parañaque"
"San Dionisio, Parañaque"
"San Isidro, Parañaque"
"San Martin de Porres, Parañaque"
"Santo Niño, Parañaque"
"Sun Valley, Parañaque"
"Tambo, Parañaque"
"Vitalez, Parañaque"
"Barangay 1, Pasay"
"Barangay 10, Pasay"
"Barangay 100, Pasay"
"Barangay 101, Pasay"
"Barangay 102, Pasay"
"Barangay 103, Pasay"
"Barangay 104, Pasay"
"Barangay 105, Pasay"
"Barangay 106, Pasay"
"Barangay 107, Pasay"
"Barangay 108, Pasay"
"Barangay 109, Pasay"
"Barangay 11, Pasay"
"Barangay 110, Pasay"
"Barangay 111, Pasay"
"Barangay 112, Pasay"
"Barangay 113, Pasay"
"Barangay 114, Pasay"
"Barangay 115, Pasay"
"Barangay 116, Pasay"
"Barangay 117, Pasay"
"Barangay 118, Pasay"
"Barangay 119, Pasay"
"Barangay 12, Pasay"
"Barangay 120, Pasay"
"Barangay 121, Pasay"
"Barangay 122, Pasay"
"Barangay 123, Pasay"
"Barangay 124, Pasay"
"Barangay 125, Pasay"
"Barangay 126, Pasay"
"Barangay 127, Pasay"
"Barangay 128, Pasay"
"Barangay 129, Pasay"
"Barangay 13, Pasay"
"Barangay 130, Pasay"
"Barangay 131, Pasay"
"Barangay 132, Pasay"
"Barangay 133, Pasay"
"Barangay 134, Pasay"
"Barangay 135, Pasay"
"Barangay 136, Pasay"
"Barangay 137, Pasay"
"Barangay 138, Pasay"
"Barangay 139, Pasay"
"Barangay 14, Pasay"
"Barangay 140, Pasay"
"Barangay 141, Pasay"
"Barangay 142, Pasay"
"Barangay 143, Pasay"
"Barangay 144, Pasay"
"Barangay 145, Pasay"
"Barangay 146, Pasay"
"Barangay 147, Pasay"
"Barangay 148, Pasay"
"Barangay 149, Pasay"
"Barangay 15, Pasay"
"Barangay 150, Pasay"
"Barangay 151, Pasay"
"Barangay 152, Pasay"
"Barangay 153, Pasay"
"Barangay 154, Pasay"
"Barangay 155, Pasay"
"Barangay 156, Pasay"
"Barangay 157, Pasay"
"Barangay 158, Pasay"
"Barangay 159, Pasay"
"Barangay 16, Pasay"
"Barangay 160, Pasay"
"Barangay 161, Pasay"
"Barangay 162, Pasay"
"Barangay 163, Pasay"
"Barangay 164, Pasay"
"Barangay 165, Pasay"
"Barangay 166, Pasay"
"Barangay 167, Pasay"
"Barangay 168, Pasay"
"Barangay 169, Pasay"
"Barangay 17, Pasay"
"Barangay 170, Pasay"
"Barangay 171, Pasay"
"Barangay 172, Pasay"
"Barangay 173, Pasay"
"Barangay 174, Pasay"
"Barangay 175, Pasay"
"Barangay 176, Pasay"
"Barangay 177, Pasay"
"Barangay 178, Pasay"
"Barangay 179, Pasay"
"Barangay 18, Pasay"
"Barangay 180, Pasay"
"Barangay 181, Pasay"
"Barangay 182, Pasay"
"Barangay 183, Pasay"
"Barangay 184, Pasay"
"Barangay 185, Pasay"
"Barangay 186, Pasay"
"Barangay 187, Pasay"
"Barangay 188, Pasay"
"Barangay 189, Pasay"
"Barangay 19, Pasay"
"Barangay 190, Pasay"
"Barangay 191, Pasay"
"Barangay 192, Pasay"
"Barangay 193, Pasay"
"Barangay 194, Pasay"
"Barangay 195, Pasay"
"Barangay 196, Pasay"
"Barangay 197, Pasay"
"Barangay 198, Pasay"
"Barangay 199, Pasay"
"Barangay 2, Pasay"
"Barangay 20, Pasay"
"Barangay 200, Pasay"
"Barangay 201, Pasay"
"Barangay 21, Pasay"
"Barangay 22, Pasay"
"Barangay 23, Pasay"
"Barangay 24, Pasay"
"Barangay 25, Pasay"
"Barangay 26, Pasay"
"Barangay 27, Pasay"
"Barangay 28, Pasay"
"Barangay 29, Pasay"
"Barangay 3, Pasay"
"Barangay 30, Pasay"
"Barangay 31, Pasay"
"Barangay 32, Pasay"
"Barangay 33, Pasay"
"Barangay 34, Pasay"
"Barangay 35, Pasay"
"Barangay 36, Pasay"
"Barangay 37, Pasay"
"Barangay 38, Pasay"
"Barangay 39, Pasay"
"Barangay 4, Pasay"
"Barangay 40, Pasay"
"Barangay 41, Pasay"
"Barangay 42, Pasay"
"Barangay 43, Pasay"
"Barangay 44, Pasay"
"Barangay 45, Pasay"
"Barangay 46, Pasay"
"Barangay 47, Pasay"
"Barangay 48, Pasay"
"Barangay 49, Pasay"
"Barangay 5, Pasay"
"Barangay 50, Pasay"
"Barangay 51, Pasay"
"Barangay 52, Pasay"
"Barangay 53, Pasay"
"Barangay 54, Pasay"
"Barangay 55, Pasay"
"Barangay 56, Pasay"
"Barangay 57, Pasay"
"Barangay 58, Pasay"
"Barangay 59, Pasay"
"Barangay 6, Pasay"
"Barangay 60, Pasay"
"Barangay 61, Pasay"
"Barangay 62, Pasay"
"Barangay 63, Pasay"
"Barangay 64, Pasay"
"Barangay 65, Pasay"
"Barangay 66, Pasay"
"Barangay 67, Pasay"
"Barangay 68, Pasay"
"Barangay 69, Pasay"
"Barangay 7, Pasay"
"Barangay 70, Pasay"
"Barangay 71, Pasay"
"Barangay 72, Pasay"
"Barangay 73, Pasay"
"Barangay 74, Pasay"
"Barangay 75, Pasay"
"Barangay 76, Pasay"
"Barangay 77, Pasay"
"Barangay 78, Pasay"
"Barangay 79, Pasay"
"Barangay 8, Pasay"
"Barangay 80, Pasay"
"Barangay 81, Pasay"
"Barangay 82, Pasay"
"Barangay 83, Pasay"
"Barangay 84, Pasay"
"Barangay 85, Pasay"
"Barangay 86, Pasay"
"Barangay 87, Pasay"
"Barangay 88, Pasay"
"Barangay 89, Pasay"
"Barangay 9, Pasay"
"Barangay 90, Pasay"
"Barangay 91, Pasay"
"Barangay 92, Pasay"
"Barangay 93, Pasay"
"Barangay 94, Pasay"
"Barangay 95, Pasay"
"Barangay 96, Pasay"
"Barangay 97, Pasay"
"Barangay 98, Pasay"
"Barangay 99, Pasay"
"Bagong Ilog, Pasig"
"Bagong Katipunan, Pasig"
"Bambang, Pasig"
"Buting, Pasig"
"Caniogan, Pasig"
"Dela Paz, Pasig"
"Kalawaan, Pasig"
"Kapasigan, Pasig"
"Kapitolyo, Pasig"
"Malinao, Pasig"
"Manggahan, Pasig"
"Maybunga, Pasig"
"Oranbo, Pasig"
"Palatiw, Pasig"
"Pinagbuhatan, Pasig"
"Pineda, Pasig"
"Rosario, Pasig"
"Sagad, Pasig"
"San Antonio, Pasig"
"San Joaquin, Pasig"
"San Jose, Pasig"
"San Miguel, Pasig"
"San Nicolas, Pasig"
"Santa Cruz, Pasig"
"Santa Lucia, Pasig"
"Santa Rosa, Pasig"
"Santo Tomas, Pasig"
"Santolan, Pasig"
"Sumilang, Pasig"
"Ugong, Pasig"
"Aguho, Pateros"
"Magtanggol, Pateros"
"Martires del 96, Pateros"
"Poblacion, Pateros"
"San Pedro, Pateros"
"San Roque, Pateros"
"Santa Ana, Pateros"
"Santo Rosario-Kanluran, Pateros"
"Santo Rosario-Silangan, Pateros"
"Tabacalera, Pateros"
"Alicia, Quezon City"
"Amihan, Quezon City"
"Apolonio Samson, Quezon City"
"Aurora, Quezon City"
"Baesa, Quezon City"
"Bagbag, Quezon City"
"Bagong Lipunan ng Crame, Quezon City"
"Bagong Pag-asa, Quezon City"
"Bagong Silangan, Quezon City"
"Bagumbayan, Quezon City"
"Bagumbuhay, Quezon City"
"Bahay Toro, Quezon City"
"Balingasa, Quezon City"
"Balong Bato, Quezon City"
"Batasan Hills, Quezon City"
"Bayanihan, Quezon City"
"Blue Ridge A, Quezon City"
"Blue Ridge B, Quezon City"
"Botocan, Quezon City"
"Bungad, Quezon City"
"Camp Aguinaldo, Quezon City"
"Capri, Quezon City"
"Central, Quezon City"
"Claro, Quezon City"
"Commonwealth, Quezon City"
"Culiat, Quezon City"
"Damar, Quezon City"
"Damayan, Quezon City"
"Damayang Lagi, Quezon City"
"Del Monte, Quezon City"
"Dioquino Zobel, Quezon City"
"Don Manuel, Quezon City"
"Doña Imelda, Quezon City"
"Doña Josefa, Quezon City"
"Duyan-duyan, Quezon City"
"E. Rodriguez, Quezon City"
"East Kamias, Quezon City"
"Escopa I, Quezon City"
"Escopa II, Quezon City"
"Escopa III, Quezon City"
"Escopa IV, Quezon City"
"Fairview, Quezon City"
"Greater Lagro, Quezon City"
"Gulod, Quezon City"
"Holy Spirit, Quezon City"
"Horseshoe, Quezon City"
"Immaculate Concepcion, Quezon City"
"Kaligayahan, Quezon City"
"Kalusugan, Quezon City"
"Kamuning, Quezon City"
"Katipunan, Quezon City"
"Kaunlaran, Quezon City"
"Kristong Hari, Quezon City"
"Krus na Ligas, Quezon City"
"Laging Handa, Quezon City"
"Libis, Quezon City"
"Lourdes, Quezon City"
"Loyola Heights, Quezon City"
"Maharlika, Quezon City"
"Malaya, Quezon City"
"Mangga, Quezon City"
"Manresa, Quezon City"
"Mariana, Quezon City"
"Mariblo, Quezon City"
"Marilag, Quezon City"
"Masagana, Quezon City"
"Masambong, Quezon City"
"Matandang Balara, Quezon City"
"Milagrosa, Quezon City"
"N. S. Amoranto, Quezon City"
"Nagkaisang Nayon, Quezon City"
"Nayong Kanluran, Quezon City"
"New Era, Quezon City"
"North Fairview, Quezon City"
"Novaliches Proper, Quezon City"
"Obrero, Quezon City"
"Old Capitol Site, Quezon City"
"Paang Bundok, Quezon City"
"Pag-ibig sa Nayon, Quezon City"
"Paligsahan, Quezon City"
"Paltok, Quezon City"
"Pansol, Quezon City"
"Paraiso, Quezon City"
"Pasong Putik Proper, Quezon City"
"Pasong Tamo, Quezon City"
"Payatas, Quezon City"
"Phil-Am, Quezon City"
"Pinagkaisahan, Quezon City"
"Pinyahan, Quezon City"
"Project 6, Quezon City"
"Quirino 2-A, Quezon City"
"Quirino 2-B, Quezon City"
"Quirino 2-C, Quezon City"
"Quirino 3-A, Quezon City"
"Ramon Magsaysay, Quezon City"
"Roxas, Quezon City"
"Sacred Heart, Quezon City"
"Saint Ignatius, Quezon City"
"Saint Peter, Quezon City"
"Salvacion, Quezon City"
"San Agustin, Quezon City"
"San Antonio, Quezon City"
"San Bartolome, Quezon City"
"San Isidro, Quezon City"
"San Isidro Labrador, Quezon City"
"San Jose, Quezon City"
"San Martin de Porres, Quezon City"
"San Roque, Quezon City"
"San Vicente, Quezon City"
"Sangandaan, Quezon City"
"Santa Cruz, Quezon City"
"Santa Lucia, Quezon City"
"Santa Monica, Quezon City"
"Santa Teresita, Quezon City"
"Santo Cristo, Quezon City"
"Santo Domingo, Quezon City"
"Santo Niño, Quezon City"
"Santol, Quezon City"
"Sauyo, Quezon City"
"Sienna, Quezon City"
"Sikatuna Village, Quezon City"
"Silangan, Quezon City"
"Socorro, Quezon City"
"South Triangle, Quezon City"
"Tagumpay, Quezon City"
"Talayan, Quezon City"
"Talipapa, Quezon City"
"Tandang Sora, Quezon City"
"Tatalon, Quezon City"
"Teachers Village East, Quezon City"
"Teachers Village West, Quezon City"
"U.P. Campus, Quezon City"
"U.P. Village, Quezon City"
"Ugong Norte, Quezon City"
"Unang Sigaw, Quezon City"
"Valencia, Quezon City"
"Vasra, Quezon City"
"Veterans Village, Quezon City"
"Villa Maria Clara, Quezon City"
"West Kamias, Quezon City"
"West Triangle, Quezon City"
"White Plains, Quezon City"
"Addition Hills, San Juan"
"Balong-Bato, San Juan"
"Batis, San Juan"
"Corazon de Jesus, San Juan"
"Ermitaño, San Juan"
"Greenhills, San Juan"
"Halo-halo, San Juan"
"Isabelita, San Juan"
"Kabayanan, San Juan"
"Little Baguio, San Juan"
"Maytunas, San Juan"
"Onse, San Juan"
"Pasadeña, San Juan"
"Pedro Cruz, San Juan"
"Progreso, San Juan"
"Rivera, San Juan"
"Salapan, San Juan"
"San Perfecto, San Juan"
"Santa Lucia, San Juan"
"Tibagan, San Juan"
"West Crame, San Juan"
"Bagumbayan, Taguig"
"Bambang, Taguig"
"Calzada, Taguig"
"Central Bicutan, Taguig"
"Central Signal Village, Taguig"
"Fort Bonifacio, Taguig"
"Hagonoy, Taguig"
"Ibayo-Tipas, Taguig"
"Katuparan, Taguig"
"Ligid-Tipas, Taguig"
"Lower Bicutan, Taguig"
"Maharlika Village, Taguig"
"Napindan, Taguig"
"New Lower Bicutan, Taguig"
"North Daang Hari, Taguig"
"North Signal Village, Taguig"
"Palingon, Taguig"
"Pinagsama, Taguig"
"San Miguel, Taguig"
"Santa Ana, Taguig"
"South Daang Hari, Taguig"
"South Signal Village, Taguig"
"Tanyag, Taguig"
"Tuktukan, Taguig"
"Upper Bicutan, Taguig"
"Ususan, Taguig"
"Wawa, Taguig"
"Western Bicutan, Taguig"
"Arkong Bato, Valenzuela"
"Bagbaguin, Valenzuela"
"Balangkas, Valenzuela"
"Bignay, Valenzuela"
"Bisig, Valenzuela"
"Canumay East, Valenzuela"
"Canumay West, Valenzuela"
"Coloong, Valenzuela"
"Dalandanan, Valenzuela"
"Gen. T. de Leon, Valenzuela"
"Isla, Valenzuela"
"Karuhatan, Valenzuela"
"Lawang Bato, Valenzuela"
"Lingunan, Valenzuela"
"Mabolo, Valenzuela"
"Malanday, Valenzuela"
"Malinta, Valenzuela"
"Mapulang Lupa, Valenzuela"
"Marulas, Valenzuela"
"Maysan, Valenzuela"
"Palasan, Valenzuela"
"Parada, Valenzuela"
"Pariancillo Villa, Valenzuela"
"Paso de Blas, Valenzuela"
"Pasolo, Valenzuela"
"Poblacion, Valenzuela"
"Pulo, Valenzuela"
"Punturin, Valenzuela"
"Rincon, Valenzuela"
"Tagalag, Valenzuela"
"Ugong, Valenzuela"
"Viente Reales, Valenzuela"
"Wawang Pulo, Valenzuela"
